+---------------------------------------------------------------+
|             Report of 2D FEA based PEmag results              |
|               Created by PEmag Release 2022 R2               |
|                 © 2022 UPM-SAS IP, Inc.                 |
+---------------------------------------------------------------+

-----------------------------------------------------------
  Magnetic Component Name: Trans_ETD39
  Number of Windings: 4
-----------------------------------------------------------

+---------------------------------------------+
|                                             |
|  Resistance as a function of the Frequency  |
|                                             |
+---------------------------------------------+

+-------------------------+
| Resistance of Winding 1 |
+-------------------------+

+----------------+----------------+
| Frequency (Hz) |    R (mohm)    |
|    6.58e+05    |       0.0614   |
|    6.89e+05    |       0.0613   |
|    7.22e+05    |       0.0611   |
|    7.56e+05    |        0.061   |
|    7.92e+05    |       0.0609   |
|     8.3e+05    |       0.0607   |
|     8.7e+05    |       0.0606   |
|    9.11e+05    |       0.0604   |
|    9.55e+05    |       0.0603   |
|       1e+06    |       0.0601   |
+----------------+----------------+

+-------------------------------------------------------------+
|             Leakage Inductance from Winding 4               |
| Supplying Winding 4 with the other windings short-circuited |
+-------------------------------------------------------------+

+----------------+----------------+
| Frequency (Hz) |   Lleak (uH)   |
+----------------+----------------+
|       1e+04    |        0.143   |
|    1.05e+04    |        0.142   |
|     1.1e+04    |        0.142   |
|    1.15e+04    |        0.142   |
|     1.2e+04    |        0.141   |
|    1.26e+04    |        0.141   |
|    1.32e+04    |        0.141   |
|    1.38e+04    |         0.14   |
|    1.45e+04    |         0.14   |
|    1.52e+04    |         0.14   |
|    1.59e+04    |        0.139   |
|    1.67e+04    |        0.139   |
|    1.75e+04    |        0.139   |
|    1.83e+04    |        0.139   |
|    1.92e+04    |        0.139   |
|    2.01e+04    |        0.139   |
|     2.1e+04    |        0.138   |
|    2.21e+04    |        0.138   |
|    2.31e+04    |        0.138   |
|    2.42e+04    |        0.138   |
|    2.54e+04    |        0.138   |
|    2.66e+04    |        0.138   |
|    2.78e+04    |        0.138   |
|    2.92e+04    |        0.138   |
|    3.05e+04    |        0.138   |
|     3.2e+04    |        0.138   |
|    3.35e+04    |        0.138   |
|    3.51e+04    |        0.137   |
|    3.68e+04    |        0.137   |
|    3.85e+04    |        0.137   |
|    4.04e+04    |        0.137   |
|    4.23e+04    |        0.137   |
|    4.43e+04    |        0.137   |
|    4.64e+04    |        0.137   |
|    4.86e+04    |        0.137   |
|    5.09e+04    |        0.137   |
|    5.34e+04    |        0.137   |
|    5.59e+04    |        0.137   |
|    5.86e+04    |        0.137   |
|    6.14e+04    |        0.137   |
|    6.43e+04    |        0.137   |
|    6.73e+04    |        0.137   |
|    7.05e+04    |        0.137   |
|    7.39e+04    |        0.137   |
|    7.74e+04    |        0.137   |
|    8.11e+04    |        0.137   |
|     8.5e+04    |        0.137   |
|     8.9e+04    |        0.137   |
|    9.33e+04    |        0.137   |
|    9.77e+04    |        0.137   |
|    1.02e+05    |        0.137   |
|    1.07e+05    |        0.137   |
|    1.12e+05    |        0.137   |
|    1.18e+05    |        0.137   |
|    1.23e+05    |        0.137   |
|    1.29e+05    |        0.137   |
|    1.35e+05    |        0.137   |
|    1.42e+05    |        0.137   |
|    1.48e+05    |        0.137   |
|    1.56e+05    |        0.137   |
|    1.63e+05    |        0.137   |
|    1.71e+05    |        0.137   |
|    1.79e+05    |        0.137   |
|    1.87e+05    |        0.137   |
|    1.96e+05    |        0.137   |
|    2.06e+05    |        0.137   |
|    2.15e+05    |        0.137   |
|    2.26e+05    |        0.137   |
|    2.36e+05    |        0.137   |
|    2.48e+05    |        0.137   |
|     2.6e+05    |        0.137   |
|    2.72e+05    |        0.137   |
|    2.85e+05    |        0.137   |
|    2.98e+05    |        0.136   |
|    3.13e+05    |        0.136   |
|    3.27e+05    |        0.136   |
|    3.43e+05    |        0.136   |
|    3.59e+05    |        0.136   |
|    3.76e+05    |        0.136   |
|    3.94e+05    |        0.136   |
|    4.13e+05    |        0.136   |
|    4.33e+05    |        0.136   |
|    4.53e+05    |        0.136   |
|    4.75e+05    |        0.136   |
|    4.98e+05    |        0.136   |
|    5.21e+05    |        0.136   |
|    5.46e+05    |        0.136   |
|    5.72e+05    |        0.135   |
|    5.99e+05    |        0.135   |
|    6.28e+05    |        0.135   |
|    6.58e+05    |        0.135   |
|    6.89e+05    |        0.135   |
|    7.22e+05    |        0.135   |
|    7.56e+05    |        0.135   |
|    7.92e+05    |        0.134   |
|     8.3e+05    |        0.134   |
|     8.7e+05    |        0.134   |
|    9.11e+05    |        0.134   |
|    9.55e+05    |        0.134   |
|       1e+06    |        0.133   |
+----------------+----------------+


+------------------------------------------+
|                                          |
|  Magnetizing Inductance of each Winding  |
|                                          |
+------------------------------------------+

Winding 1:    Lmag = 101.088 uH
Winding 2:    Lmag = 2.56573 uH
Winding 3:    Lmag = 2.57042 uH
Winding 4:    Lmag = 2.62769 uH


+---------------------------------+
|                                 |
|  DC Resistance of each Winding  |
|                                 |
+---------------------------------+

Winding 1:    R(DC) = 12.6483 mohm
Winding 2:    R(DC) = 1.48866 mohm
Winding 3:    R(DC) = 1.8069 mohm
Winding 4:    R(DC) = 2.12514 mohm
